Order Date,Customer,Product,Qty,Sales Order,Planned Order,Production Order,Confirmed,Status,Delivery,Invoice,Billing Status,Amount
2/24/2003,Land of Toys Inc.,Motorcycles,30,SO-f12fd052,PL-863a3a2c,PO-ee7302e3,TRUE,Shipped,In Transit,INV-cf978019,Paid,2871
5/7/2003,Reims Collectables,Motorcycles,34,SO-b935ed56,PL-ed837178,PO-b540a11d,TRUE,Shipped,In Transit,INV-6ddf952c,Paid,2765.9
7/1/2003,Lyon Souveniers,Motorcycles,41,SO-a36801ff,PL-718d018c,PO-44bb0dce,TRUE,Shipped,In Transit,INV-9f4b9c72,Paid,3884.34
8/25/2003,Toys4GrownUps.com,Motorcycles,45,SO-eceadd5a,PL-7ec7e352,PO-27d6a0c8,TRUE,Shipped,In Transit,INV-a402dba0,Paid,3746.7
10/10/2003,Corporate Gift Ideas Co.,Motorcycles,49,SO-d774fc7d,PL-cd8c09d3,PO-5390fa2f,TRUE,Shipped,In Transit,INV-72eaba90,Paid,4900
10/28/2003,Technics Stores Inc.,Motorcycles,36,SO-38c18185,PL-a84b3b06,PO-a3d652f4,TRUE,Shipped,In Transit,INV-38682870,Paid,3479.76
11/11/2003,Daedalus Designs Imports,Motorcycles,29,SO-ec9680d8,PL-94db86ca,PO-ccc94425,TRUE,Shipped,In Transit,INV-12912f5a,Paid,2497.77
11/18/2003,Herkku Gifts,Motorcycles,48,SO-f02e97d7,PL-d9e0483d,PO-fd381951,TRUE,Shipped,In Transit,INV-5bec64ac,Paid,4800
12/1/2003,Mini Wheels Co.,Motorcycles,22,SO-a52d77ce,PL-6f3e4f2f,PO-7ba0c19e,TRUE,Shipped,In Transit,INV-90e3c8b7,Paid,2168.54
1/15/2004,Auto Canal Petit,Motorcycles,41,SO-6e72c816,PL-2ec6dd0f,PO-f22543ca,TRUE,Shipped,In Transit,INV-a1111422,Paid,4100
2/20/2004,"Australian Collectors, Co.",Motorcycles,37,SO-ea17ba0f,PL-fba72b30,PO-ba59300a,TRUE,Shipped,In Transit,INV-4b311221,Paid,3700
4/5/2004,Vitachrome Inc.,Motorcycles,23,SO-e1d0008a,PL-8e940fd4,PO-6396b236,TRUE,Shipped,In Transit,INV-d50b2264,Paid,2300
5/18/2004,Tekni Collectables Inc.,Motorcycles,28,SO-dc8d8fda,PL-acfea467,PO-b70c5bdd,TRUE,Shipped,In Transit,INV-c753ff40,Paid,2800
6/28/2004,Gift Depot Inc.,Motorcycles,34,SO-8adad697,PL-0fdef0ca,PO-91ec0c93,TRUE,Shipped,In Transit,INV-29cd16c4,Paid,3400
7/23/2004,La Rochelle Gifts,Motorcycles,45,SO-4f6ed71e,PL-ec5792f8,PO-646a38f0,TRUE,Shipped,In Transit,INV-eec46fbc,Paid,4177.35
8/27/2004,Marta's Replicas Co.,Motorcycles,36,SO-8692ff8f,PL-988db62d,PO-56c70c54,TRUE,Shipped,In Transit,INV-1299b11e,Paid,3600
9/30/2004,"Toys of Finland, Co.",Motorcycles,23,SO-8aeb7a89,PL-3d10fc8f,PO-9344c55e,TRUE,Shipped,In Transit,INV-3b8e4326,Paid,2300
10/15/2004,Baane Mini Imports,Motorcycles,41,SO-b4a2b68e,PL-aaeb3566,PO-7db33259,TRUE,Shipped,In Transit,INV-7ba04cd4,Paid,4100
11/2/2004,Diecast Classics Inc.,Motorcycles,46,SO-645742eb,PL-90106960,PO-5de9bd95,TRUE,Shipped,In Transit,INV-d9318430,Paid,4358.04
11/15/2004,Land of Toys Inc.,Motorcycles,42,SO-1f8de508,PL-58fad80b,PO-93ef6aeb,TRUE,Shipped,In Transit,INV-55b60920,Paid,4200
11/24/2004,Salzburg Collectables,Motorcycles,41,SO-6d936cf6,PL-e9175086,PO-1cf9558d,TRUE,Shipped,In Transit,INV-3ce0ca23,Paid,4100
12/17/2004,Souveniers And Things Co.,Motorcycles,20,SO-7f00376b,PL-4d54b2de,PO-14554c55,TRUE,Shipped,In Transit,INV-800c080f,Paid,1451
2/3/2005,La Rochelle Gifts,Motorcycles,21,SO-fb5c34d4,PL-6eb5a84d,PO-8b6aa5f7,TRUE,Shipped,In Transit,INV-3c9803b1,Paid,733.11
3/3/2005,FunGiftIdeas.com,Motorcycles,42,SO-a703fbb2,PL-f17b236e,PO-e0dcacc5,TRUE,Shipped,In Transit,INV-416bec61,Paid,3207.12
4/8/2005,"UK Collectables, Ltd.",Motorcycles,24,SO-ab587e22,PL-9e3e2402,PO-92c8374c,TRUE,Shipped,In Transit,INV-a76441cb,Paid,2400
5/13/2005,Euro Shopping Channel,Motorcycles,66,SO-86ae9e86,PL-7a2867bb,PO-323f5401,TRUE,Disputed,Not in Transit,INV-09dc4028,Unpaid,6600
1/29/2003,Baane Mini Imports,Classic Cars,26,SO-a38da67f,PL-d620967c,PO-ed6490d0,TRUE,Shipped,In Transit,INV-ce75f3e7,Paid,2600
3/24/2003,"Volvo Model Replicas, Co",Classic Cars,29,SO-6364a07b,PL-83523c92,PO-dee3972e,TRUE,Shipped,In Transit,INV-7ff097c2,Paid,2900
5/28/2003,"Corrida Auto Replicas, Ltd",Classic Cars,38,SO-54a3c889,PL-210df561,PO-a368603a,TRUE,Shipped,In Transit,INV-25f331b0,Paid,3800
7/24/2003,Technics Stores Inc.,Classic Cars,37,SO-ad44042a,PL-1fc42772,PO-2cdd0889,TRUE,Shipped,In Transit,INV-916fa473,Paid,3700
9/19/2003,"Dragon Souveniers, Ltd.",Classic Cars,45,SO-f981431f,PL-9e9d592e,PO-2c79be24,TRUE,Shipped,In Transit,INV-e7b82397,Paid,4500
10/20/2003,Classic Legends Inc.,Classic Cars,21,SO-1e5ea24f,PL-3616f9d6,PO-f064f881,TRUE,Shipped,In Transit,INV-2b8ef8bf,Paid,2100
11/6/2003,"Australian Gift Network, Co",Classic Cars,34,SO-b8346a56,PL-62a33df0,PO-7cf94632,TRUE,Shipped,In Transit,INV-33f36441,Paid,3400
11/13/2003,"Classic Gift Ideas, Inc",Classic Cars,23,SO-bf30ca79,PL-d8556a44,PO-4af88994,TRUE,Shipped,In Transit,INV-e4708449,Paid,2300
11/25/2003,"Saveley & Henriot, Co.",Classic Cars,42,SO-8d8bc462,PL-f49e2e65,PO-747c94bf,TRUE,Shipped,In Transit,INV-58b35a49,Paid,4200
12/5/2003,Canadian Gift Exchange Network,Classic Cars,47,SO-6c343b5b,PL-544da6e2,PO-d9779378,TRUE,Shipped,In Transit,INV-5b9e2b4a,Paid,4700
1/29/2004,West Coast Collectables Co.,Classic Cars,35,SO-63cd31ed,PL-7906d159,PO-c971d675,TRUE,Shipped,In Transit,INV-f4736ae7,Paid,3500
3/10/2004,Cambridge Collectables Co.,Classic Cars,29,SO-963bf553,PL-45968c4d,PO-eaa3a00f,TRUE,Shipped,In Transit,INV-2678343d,Paid,2900
5/4/2004,Super Scale Inc.,Classic Cars,34,SO-4eaee793,PL-0924677c,PO-26f53588,TRUE,Shipped,In Transit,INV-138b6842,Paid,3400
6/15/2004,"Tokyo Collectables, Ltd",Classic Cars,32,SO-557f727b,PL-c855992a,PO-95ee45a5,TRUE,Shipped,In Transit,INV-a102bc01,Paid,3200
7/19/2004,Souveniers And Things Co.,Classic Cars,21,SO-4e141a3b,PL-7a709d77,PO-29d1558a,TRUE,Shipped,In Transit,INV-c50f4dcc,Paid,2100
8/17/2004,Amica Models & Co.,Classic Cars,34,SO-70d1b54b,PL-fcad94d7,PO-616bd575,TRUE,Shipped,In Transit,INV-62686397,Paid,3400
9/8/2004,Scandinavian Gift Ideas,Classic Cars,37,SO-19b7ddfb,PL-7d32a72c,PO-b3d512d0,TRUE,Shipped,In Transit,INV-d343ecbb,Paid,3700
10/11/2004,Auto Assoc. & Cie.,Classic Cars,47,SO-504f5217,PL-be25e9bc,PO-9b24c28e,TRUE,Shipped,In Transit,INV-65f155df,Paid,4700
10/21/2004,Mini Gifts Distributors Ltd.,Classic Cars,48,SO-8d0140fc,PL-baa3594d,PO-91719004,TRUE,Shipped,In Transit,INV-4b92de70,Paid,4800
11/4/2004,Online Diecast Creations Co.,Classic Cars,40,SO-930aea98,PL-1222cbbe,PO-0464db3d,TRUE,Shipped,In Transit,INV-302b363a,Paid,4000
11/18/2004,Mini Wheels Co.,Classic Cars,26,SO-9d89b887,PL-8afc7a23,PO-d4ee319f,TRUE,Shipped,In Transit,INV-13fe0d03,Paid,2600
11/29/2004,"Australian Collectors, Co.",Classic Cars,30,SO-c0091902,PL-23705ea5,PO-a1ff49fb,TRUE,Shipped,In Transit,INV-0f6bceb9,Paid,3000
12/10/2004,Mini Gifts Distributors Ltd.,Classic Cars,32,SO-b6f7cd3b,PL-8d75e271,PO-aa0e5c4a,TRUE,Shipped,In Transit,INV-1aa4fc6c,Paid,3200
1/20/2005,Collectables For Less Inc.,Classic Cars,41,SO-ca0dc238,PL-0f709b7c,PO-67c916cc,TRUE,Shipped,In Transit,INV-79e2efec,Paid,4100
2/17/2005,Corporate Gift Ideas Co.,Classic Cars,36,SO-26c19be1,PL-7533a666,PO-e44c1716,TRUE,Shipped,In Transit,INV-e3585ed0,Paid,3600
3/9/2005,"Anna's Decorations, Ltd",Classic Cars,24,SO-aa228376,PL-f13a8737,PO-9430a1d8,TRUE,Shipped,In Transit,INV-11f33624,Paid,2400
5/1/2005,Quebec Home Shopping Network,Classic Cars,23,SO-1c588fe2,PL-aa93f08e,PO-b5e3554c,TRUE,Shipped,In Transit,INV-b0ea6586,Paid,2300
5/31/2005,Euro Shopping Channel,Classic Cars,50,SO-44af0b6b,PL-40f9c52b,PO-5c74a943,TRUE,In Process,Not in Transit,INV-8cf7b403,Unpaid,5000
2/24/2003,Land of Toys Inc.,Motorcycles,39,SO-506a7172,PL-de3aa2e6,PO-d144e74c,TRUE,Shipped,In Transit,INV-ef9aca75,Paid,3896.49
4/29/2003,"Australian Collectors, Co.",Motorcycles,29,SO-dae7caac,PL-1a89d374,PO-0a8ed3a1,TRUE,Shipped,In Transit,INV-f15cdeae,Paid,2793.86
7/1/2003,Lyon Souveniers,Motorcycles,27,SO-0f566560,PL-fb0a4e88,PO-e31fbee9,TRUE,Shipped,In Transit,INV-296f4f1b,Paid,2700
8/25/2003,Toys4GrownUps.com,Motorcycles,37,SO-fb3b22cd,PL-c2456cff,PO-11432cc0,TRUE,Shipped,In Transit,INV-65fba23f,Paid,3700
10/10/2003,Corporate Gift Ideas Co.,Motorcycles,37,SO-47ca4805,PL-dc87edf8,PO-6dcc467a,TRUE,Shipped,In Transit,INV-b4b2f6ba,Paid,3700
10/28/2003,Technics Stores Inc.,Motorcycles,27,SO-3500faed,PL-ed63dfec,PO-202245a1,TRUE,Shipped,In Transit,INV-9ccb3fad,Paid,2700
11/11/2003,Daedalus Designs Imports,Motorcycles,42,SO-43e1bc8e,PL-2231fc29,PO-d1bc16a1,TRUE,Shipped,In Transit,INV-19d5d389,Paid,4200
11/18/2003,Herkku Gifts,Motorcycles,38,SO-29a6bc5b,PL-63153778,PO-0c29a2a3,TRUE,Shipped,In Transit,INV-535aa57a,Paid,3660.92
12/1/2003,Mini Wheels Co.,Motorcycles,24,SO-c746b004,PL-e6d7d9e7,PO-5e44b64b,TRUE,Shipped,In Transit,INV-4f5072e6,Paid,2400
1/12/2004,Osaka Souveniers Co.,Motorcycles,23,SO-d7a8583f,PL-d3b6aa81,PO-c7e3c090,TRUE,Shipped,In Transit,INV-825f7e1f,Paid,2300
2/20/2004,"Australian Collectors, Co.",Motorcycles,47,SO-2178f154,PL-b47131b1,PO-5f187ee7,TRUE,Shipped,In Transit,INV-7ef11b63,Paid,4700
4/3/2004,Motor Mint Distributors Inc.,Motorcycles,22,SO-93a147bc,PL-f62edb9d,PO-c82cb0e0,TRUE,Shipped,In Transit,INV-4ac10349,Paid,2200
5/18/2004,Tekni Collectables Inc.,Motorcycles,44,SO-db1e1dbc,PL-b86910b0,PO-c16293ad,TRUE,Shipped,In Transit,INV-3cfddf5c,Paid,4400
6/28/2004,Gift Depot Inc.,Motorcycles,40,SO-6c41dad7,PL-120e6642,PO-bad34721,TRUE,Shipped,In Transit,INV-6612a717,Paid,4000
7/23/2004,La Rochelle Gifts,Motorcycles,22,SO-bd39a44f,PL-341196c7,PO-4b658a6a,TRUE,Shipped,In Transit,INV-0d4e651a,Paid,2200
8/27/2004,Marta's Replicas Co.,Motorcycles,47,SO-053f1ae1,PL-4246e02a,PO-0af6e898,TRUE,Shipped,In Transit,INV-9e2af858,Paid,4700
9/27/2004,Atelier graphique,Motorcycles,39,SO-e4a96ce2,PL-79758da4,PO-bbc71cd9,TRUE,Shipped,In Transit,INV-f9fb6c0a,Paid,3757.26
10/15/2004,Mini Classics,Motorcycles,34,SO-42e3d866,PL-779a2038,PO-b194838d,TRUE,Shipped,In Transit,INV-b97ff7d0,Paid,3400
11/2/2004,Diecast Classics Inc.,Motorcycles,45,SO-02779d6a,PL-264829fb,PO-977cb767,TRUE,Shipped,In Transit,INV-c8b5896b,Paid,4500
11/15/2004,Land of Toys Inc.,Motorcycles,20,SO-23f0b763,PL-e688b29f,PO-507501c6,TRUE,Shipped,In Transit,INV-2d749147,Paid,2000
11/23/2004,"Tokyo Collectables, Ltd",Motorcycles,40,SO-70044c78,PL-0492ef0c,PO-2a1081ba,TRUE,Shipped,In Transit,INV-cca85855,Paid,2756.8
12/17/2004,Souveniers And Things Co.,Motorcycles,26,SO-5f54888d,PL-e3a1ac7b,PO-f10c62c8,TRUE,Shipped,In Transit,INV-ecce2fb2,Paid,1329.9
2/2/2005,"Australian Gift Network, Co",Motorcycles,39,SO-350e1db3,PL-c8a41950,PO-d1503631,TRUE,Shipped,In Transit,INV-ef91ed01,Paid,3900
3/3/2005,FunGiftIdeas.com,Motorcycles,50,SO-338489c1,PL-b234814a,PO-8b2cd13d,TRUE,Shipped,In Transit,INV-42343096,Paid,2225.5
4/7/2005,Auto Canal Petit,Motorcycles,45,SO-becc50c5,PL-ba300d63,PO-20b17581,TRUE,Shipped,In Transit,INV-90674bc4,Paid,4500
5/13/2005,Euro Shopping Channel,Motorcycles,45,SO-4027a1b9,PL-d947d059,PO-0aee2d3b,TRUE,Disputed,Not in Transit,INV-05f0292c,Unpaid,4500
2/24/2003,Land of Toys Inc.,Motorcycles,27,SO-79719edf,PL-f271b6f1,PO-21900760,TRUE,Shipped,In Transit,INV-cbce8874,Paid,2700
4/29/2003,"Australian Collectors, Co.",Motorcycles,46,SO-3c8f5e6f,PL-901aaa18,PO-0d8a7169,TRUE,Shipped,In Transit,INV-5809e798,Paid,4600
7/1/2003,Lyon Souveniers,Motorcycles,31,SO-409951b2,PL-f4501c70,PO-70871d78,TRUE,Shipped,In Transit,INV-6d49c94b,Paid,3100
8/25/2003,Toys4GrownUps.com,Motorcycles,33,SO-6f694e8f,PL-bea72fe0,PO-e36d151a,TRUE,Shipped,In Transit,INV-b090f607,Paid,3300
10/10/2003,Corporate Gift Ideas Co.,Motorcycles,22,SO-ffb0bd76,PL-61a9c0a4,PO-e778c11f,TRUE,Shipped,In Transit,INV-3a2c9395,Paid,2200
10/28/2003,Technics Stores Inc.,Motorcycles,20,SO-f9f068fe,PL-e42e509c,PO-db153a56,TRUE,Shipped,In Transit,INV-edd01bb8,Paid,2000
11/11/2003,Daedalus Designs Imports,Motorcycles,41,SO-e2b0edb7,PL-0d382ed3,PO-681779cb,TRUE,Shipped,In Transit,INV-234d12b7,Paid,4100
11/18/2003,Herkku Gifts,Motorcycles,45,SO-7f783c56,PL-84682bd2,PO-5949f52e,TRUE,Shipped,In Transit,INV-a8661bbf,Paid,4500
12/1/2003,Mini Wheels Co.,Motorcycles,49,SO-bf996a42,PL-3f47ff78,PO-800d8ebd,TRUE,Shipped,In Transit,INV-b7ceb31e,Paid,4900
1/12/2004,Osaka Souveniers Co.,Motorcycles,34,SO-991af351,PL-16b728bc,PO-55abac27,TRUE,Shipped,In Transit,INV-a8c6bf10,Paid,3400
2/20/2004,"Australian Collectors, Co.",Motorcycles,49,SO-969c3970,PL-51bae73f,PO-21b89dbc,TRUE,Shipped,In Transit,INV-beba4d2d,Paid,4900
4/5/2004,Vitachrome Inc.,Motorcycles,39,SO-e137d6e8,PL-696296c9,PO-a555de88,TRUE,Shipped,In Transit,INV-4a2a00d3,Paid,3900
5/18/2004,Tekni Collectables Inc.,Motorcycles,43,SO-32829670,PL-94611f0f,PO-69de7e72,TRUE,Shipped,In Transit,INV-bf1167ec,Paid,4300
6/28/2004,Gift Depot Inc.,Motorcycles,41,SO-182933e5,PL-92802d57,PO-496833f4,TRUE,Shipped,In Transit,INV-dd65488f,Paid,4100
7/23/2004,La Rochelle Gifts,Motorcycles,36,SO-70c4aa8e,PL-7b74da15,PO-7e7dd685,TRUE,Shipped,In Transit,INV-faa40904,Paid,3600
